License #,DBA Name,Address,City,State
2658945.0,J AND L FOOD SERVICE,1639 W WALNUT ST BLDG  1ST/2ND,CHICAGO,IL
2263388.0,THAI PASTRY RESTAURANT,4925 N BROADWAY ,CHICAGO,IL
2308390.0,LE PAIN QUOTIDIEN,135 N CLINTON ,CHICAGO,IL
2663727.0,"ICE Q, INC.",3308 N WESTERN AVE ,CHICAGO,IL
2583730.0,SARPINO'S ALBANY PARK,4830 N PULASKI RD ,CHICAGO,IL
31079.0,THE GRINGO,1202 W GRAND AVE ,CHICAGO,IL
2641534.0,OCEAN SUSHI,5437 N LINCOLN ,CHICAGO,IL
2535283.0,WENDY'S 11743,145 S WESTERN AVE ,CHICAGO,IL
1446432.0,DUNKIN DONUTS & BASKIN ROBINS,3977 W COLUMBUS AVE ,CHICAGO,IL
2589109.0,FRANCESCA'S CAFE,852 N DAMEN AVE ,CHICAGO,IL
51050.0,EL CHILE RESTAURANT & PANCAKE HOUSE,3038-3040 W MONTROSE AVE ,CHICAGO,IL
2078906.0,BEEZEE,424 S WABASH AVE ,CHICAGO,IL
2099465.0,TOSCANA,5357 N LINCOLN AVE ,CHICAGO,IL
17639.0,CZERWONE JABLUSZKO RESTAURANT,6474 N MILWAUKEE AVE ,CHICAGO,IL
2663906.0,SEE THRU CHINESE KITCHEN,7118 S WESTERN AVE ,CHICAGO,IL
2560551.0,DUNKIN DOUGHNUTS,947 W FULLERTON AVE ,CHICAGO,IL
2663850.0,HELIX CAFE,6237 N CLARK ST ,CHICAGO,IL
1959577.0,Jimmy Johns,520 N OGDEN AVE ,CHICAGO,IL
61757.0,HARMONY RESTAURANT,6525 W ARCHER AVE ,CHICAGO,IL
2588772.0,BEST SUB #2,2729 W DIVISION ST ,CHICAGO,IL
2542420.0,MR  SUBMARINE,2900 W 63RD ST ,CHICAGO,IL
12540.0,DAPPER'S EAST RESTAURANT,2901 W ADDISON ST ,CHICAGO,IL
2616198.0,CRAZY BIRD,1160 W GRAND AVE ,CHICAGO,IL
2564800.0,BIG STAR II,3638-3640 N CLARK ST ,CHICAGO,IL
2664003.0,CHENG CHOPSTICKS,3054 W ARMITAGE AVE ,CHICAGO,IL
27392.0,MOM'S & DAD'S DELI,6345 S CENTRAL AVE ,CHICAGO,IL
2354772.0,EL TACONAZO JR.,4256 W FULLERTON AVE ,CHICAGO,IL
3595.0,EASTERN STYLE PIZZA II LT,2911 W TOUHY AVE ,CHICAGO,IL
2431903.0,OAATO FOODS INC.,7118 N CLARK ST ,CHICAGO,IL
2360132.0,NEW CHINA BUFFET,3246 W ADDISON ST ,CHICAGO,IL
2564693.0,BEST TASTY SUB,3723 W CHICAGO AVE ,CHICAGO,IL
2013974.0,AL'S BEEF,601 W ADAMS ST ,CHICAGO,IL
18973.0,CONTE DI SAVOIA INC,1438 W TAYLOR ST ,CHICAGO,IL
24567.0,LAILA'S GRAND GAME ROOM INC,7110 W GRAND AVE ,CHICAGO,IL
1846488.0,GIANNA'S PIZZA,1519 E 87TH ST ,CHICAGO,IL
2575261.0,ROSATI'S PIZZA OF LINCOLN PARK,953 W DIVERSEY PKWY ,CHICAGO,IL
2569503.0,WEST TOWN BAKERY,3626 N CLARK AVE ,CHICAGO,IL
1276082.0,FORK,4600-4602 N LINCOLN AVE ,CHICAGO,IL
2254328.0,LA IGUANITA RESTAURANT,3733 S KEDZIE AVE ,CHICAGO,IL
50905.0,TOP-NOTCH BEEFBURGER INC,2114-2116 W 95TH ST ,CHICAGO,IL
2652431.0,MADDON'S POST,1119 W WAVELAND AVE ,CHICAGO,IL
2423951.0,ORIENTAL CHOP SUEY,1820 W 95TH ST ,CHICAGO,IL
2658887.0,"BEST BBQ HOUSE, INC",2002 S WENTWORTH AVE ,CHICAGO,IL
2427736.0,POPPIN DOUGH,1235 W 95TH ST ,CHICAGO,IL
2511023.0,SUSUPUATO RESTAURANT & TAQUERIA,6161 N BROADWAY ,CHICAGO,IL
2657752.0,PICOSITO GRILL,3553-3559 E 100TH ST ,CHICAGO,IL
2659333.0,SUSUPUATO RESTAURANT,6161 N BROADWAY ,CHICAGO,IL
1816453.0,JIMMY JAMM SWEET POTATO PIES ETC,1844 W 95TH ST ,CHICAGO,IL
2652430.0,MADDON'S POST,1119 W WAVELAND AVE ,CHICAGO,IL
990.0,FALCO'S PIZZA,2806 W 40TH PL ,CHICAGO,IL
2385110.0,TACO BELL 31279,3350 W ROOSEVELT RD ,CHICAGO,IL
6394.0,NUEVO LEON RESTAURANT,3657 W 26TH ST ,CHICAGO,IL
2522469.0,SMALL CHEVAL,1345 N WELLS ST ,CHICAGO,IL
2511483.0,TAQUERIA EL DORADO,6952 N CLARK ST ,CHICAGO,IL
2652435.0,MADDON'S POST,1119 W WAVELAND AVE ,CHICAGO,IL
2663945.0,ANDY'S THAI KITCHEN III,950 W DIVERSEY PKWY ,CHICAGO,IL
2423192.0,LA CATEDRAL CAFE,4544 N WESTERN AVE ,CHICAGO,IL
2092894.0,I DREAM OF FALAFEL,555 W MONROE ST ,CHICAGO,IL
2428107.0,MCDONALD'S,1443 E 87TH ST ,CHICAGO,IL
2054767.0,BIRRIERIA PATINO OCOTLAN,3813 W 26TH ST ,CHICAGO,IL
2278096.0,COMMUNITY,4038 N MILWAUKEE AVE ,CHICAGO,IL
2483757.0,KENTUCKY FRIED CHICKEN,300 E 35TH ST ,CHICAGO,IL
1575975.0,BEST BBQ,1648 W 115TH ST ,CHICAGO,IL
2492176.0,PARISSE'S DRIVE IN,6216 W 63RD ST ,CHICAGO,IL
2663706.0,D'ANARDO'S PIZZA,6535 W 63RD ST ,CHICAGO,IL
