license_no,yelp_id,inspection_name,inspection_address,yelp_name,yelp_address
11832.0,SHQHv_wyzQNYul8435YKKQ,POPEYES #2836,1949 W FULLERTON AVE ,Popeyes Louisiana Kitchen,1949 W Fullerton Ave
2664061.0,EAN6sG5tNV8JXab_KgO4pg,REMEDY AT AON CENTER,200 E RANDOLPH ST ,Aon Center,200 E Randolph St
2636802.0,0,OFFSHORE,900 E GRAND AVE ,,
2536551.0,CjNwD_zz4Go5h0kKXl58rA,SYDNEY MAROVITZ GOLF COURSE,3600 N RECREATION DR ,Sydney R. Marovitz Golf Course,3600 N Recreation Dr
2636806.0,0,OFFSHORE,900 E GRAND AVE ,,
2617143.0,0,ROBERT'S PIZZA AND DOUGH COMPANY,411 E ILLINOIS ST ,,
2636803.0,0,OFFSHORE,900 E GRAND AVE ,,
2653012.0,5kyARHgULPxkunGm5uArEQ,SPICY MEXICAN GRILL,3925 N LINCOLN AVE ,Spicy Mexican Grill,3925 N Lincoln Ave
2663532.0,0,CLUB NUTRICION LIA,3720 W 26TH ST ,,
2517230.0,0BPBapHrwWuFp5_Tmun79A,NIBBLES & NOSH/MIDNIGHT MAC & CHEESERIE/XO MARSHME,6977-6981 N SHERIDAN RD ,Nibbles and Nosh,6981 N Sheridan Rd
1495623.0,0,TAQUERIA EL ARCO,3105 W 26TH ST ,,
8741.0,5B0BW7hTDzZlYnKihO0R5w,COCULA RESTAURANT,2801 W CERMAK RD ,Cocula Restaurant,2801 W Cermak Rd
2308160.0,LmOCyxWKENwQRlixDlObqw,BIG & LITTLE'S RESTAURANT,1034 W BELMONT AVE ,BIG & little's Restaurant,1034 W Belmont Ave
2501674.0,W2hvbGLNqmyYkILJcNbG4Q,AWASH ETHIOPIAN RESTAURANT,6324-6326 N BROADWAY ,Awash Ethiopian Restaurant,6324- 26 N Broadway St
1869346.0,LPZP6SvCfBIAQahXDx3Ajg,TURQUOISE CAFE,2147 W ROSCOE ST ,Turquoise Restaurant,2147 W Roscoe St
2431689.0,yhyrmiyIl4_IsJe72YSS6A,DIXIE,1952 N DAMEN AVE ,Dixie,1952 N Damen Ave
1096007.0,5jJ__S1LokMPtGKLsMZqHQ,"LET'S GET POPPIN, INC.",11758 S WESTERN AVE ,Let's Get Poppin',11758 S Western Ave
7053.0,cWmkqQGH86CO0hZfHWJ_mw,BEVERLY WOODS RESTAURANT,11532 S WESTERN AVE ,Beverly Woods Restaurant,11532 S Western Ave
2617088.0,0,ROBERT'S PIZZA AND DOUGH COMPANY,411 E ILLINOIS ST ,,
2636805.0,0,OFFSHORE,900 E GRAND AVE ,,
2653011.0,5kyARHgULPxkunGm5uArEQ,SPICY MEXICAN GRILL,3925 N LINCOLN AVE ,Spicy Mexican Grill,3925 N Lincoln Ave
2431688.0,yhyrmiyIl4_IsJe72YSS6A,DIXIE,1952 N DAMEN AVE ,Dixie,1952 N Damen Ave
2068929.0,gIoKJpHjOEPjWxGZObTxiQ,CHINA  STAR,4716 N MILWAUKEE AVE ,China Star,4716 N Milwaukee Ave
2653259.0,0,BLACK EAGLE CLUB,1938 W IRVING PARK RD ,,
34135.0,IB39OnLmhCV3kPihrusGsg,CULLINAN'S STADIUM CLUB,11610 S WESTERN AVE ,Cullinan's Stadium Club,11610 S Western Ave
2579251.0,0,"ROSAS TAMALES, INC.",4617-4619 S KEDZIE AVE ,,
2147526.0,jPJ764ttChIJRJbdzvgwOA,ELLIE'S,10701 S HALE AVE ,Ellie's Cafe,10701 S Hale Ave
2153439.0,95i_ee_eZx5XOBAa7lrvSg,LOS MANGOS NEVERIA Y FRUTERIA,3551 W 26TH ST ,Los Mangos Neveria Y Fruteria,3551 W 26th St
6509.0,Vllmq_0S_dZZ1Tt2MHGFGg,IL VICINATO INC,2435 S WESTERN AVE ,Il Vicinato Ristorante,2435 S Western Ave
2309244.0,c5mZGL7lRO1_Z8Z261fLgg,STUDIO MOVIE GRILL,210 W 87TH ST ,Studio Movie Grill,210 W 87th St
2621370.0,qIRFV1waBCr3rGFt06ahtQ,DO-RITE DONUTS & CHICKEN,1027 W ADDISON ST ,Do-Rite Donuts & Chicken,1027 W Addison St
2569284.0,PjJw8bq2t-prI9eHpQA6rA,KAI SUSHI,3819 N SOUTHPORT AVE ,Kai Sushi Lakeview,3819 N Southport Ave
1332670.0,lS_dGObdvDlnlEkpOvPngQ,JB'S DELI INC.,5501 N CLARK ST ,JB's Deli,5501 N Clark St
2590104.0,T9iZGsg0X51nWhFyreo5Og,"BILLY GOAT IV, INC.",5700 S CICERO AVE ,Billy Goat,5700 S Cicero Ave
2560609.0,udZNKWPbZdk-EBZlBLOH2w,TJAM KITCHEN,1418 W HOWARD ST ,TJam Kitchen,1418 W Howard St
2397972.0,0,SUNSHIRO RAMEN,2516 S HALSTED ST ,,
1474562.0,Ih_Y7VpKvOuxsNS6-fMv6g,POTBELLY SANDWICH WORKS LLC,1625 N DAMEN AVE ,Potbelly Sandwich Shop,1625 N Damen Ave
2563583.0,3IxUf8Uc2BLwRGk59TTYjQ,LARSA'S MEDITERRANEAN RESTAURANT,3146 W TOUHY AVE ,Larsa's Mediterranean Restaurant,3146 W Touhy Ave
2229420.0,xlX-nO0SaNwjGueCsgV-0g,DIMO'S PIZZA WRIGLEYVILLE,3463 N CLARK ST ,Dimo's Pizza,3463 N Clark St
2321232.0,DGw-WyrlnOJgmjFyH05Ogg,PALETERIA AYUTLA,2404 W 46TH PL ,Paleteria Ayutla,2404 W 46th Pl
2293343.0,xo2_JehzluBaBmA13UpDuw,A&T PANCAKE HOUSE,7036 N CLARK ST ,A & T Pancake House and Grill,7036 N Clark St
2659206.0,Qwb84bzPj96C5GshFmnJvw,YOLK - LINCOLN PARK,1504 N FREMONT ST ,Yolk - Lincoln Park,1504 N Fremont St
2432475.0,0,FLAJAE CAFE,644 N CICERO AVE ,,
1819996.0,B5CpZsEZJqRsKVYU7nWDDg,THE ABERDEEN TAP,440 N ABERDEEN ST ,The Aberdeen Tap,440 N Aberdeen St
55355.0,LrTJPD0wO8L_zBbWwzbirg,RAJ DARBAR,2660 N HALSTED ST ,Raj Darbar,2660 N Halsted St
2616693.0,lPq5dWY57QyekebhvnVlrA,LOS MANGOS AVERS,3058 S AVERS AVE ,Los Mangos Neveria y Fruteria,3058 S Avers Ave
1357930.0,xHUnA-mMNd1aiF33g5XMNQ,SUBWAY SANDWICHES #27143,2349 W HOWARD ST ,Subway,2349 W Howard St
2511389.0,S8RSmrV3oCptnTdimMYVBg,PIZZA VINO,5700 S CICERO AVE ,Pizza Vino,5700 S Cicero Ave
2595116.0,MFe_fnDkGdsUk9nV5U2VNg,ARAMI/WOODGRAIN,5700 S CICERO AVE ,Woodgrain Pizzeria,5700 S Cicero Ave
2349597.0,MCxb7FbvsCQGYuapmmjlHA,NATYS PIZZA 26,3849 W 26TH ST ,Naty's Pizza,3849 W 26th St
2600491.0,0,LA ESQUINA DEL SABOR INC.,4224 W 31ST ST ,,
2431870.0,0,UNIVERSAL ENTERTAINMENT CENTER,11901 S LOOMIS ST ,,
1495274.0,FCKdIs-Na3ocJqH59XMJkw,SUBWAY,3167 N LINCOLN AVE ,Subway,3167 N Lincoln Ave
